name,popularity,total_rating,esrb
Deus Ex: Mankind Divided,24.33333333333333,79.6174010127845,6.0
Cool Boarders 2001,7.333333333333332,,3.0
Dragon Ball Z: Battle of Z,3.333333333333333,58.3333333333333,5.0
Scooby-Doo! First Frights,1.333333333333333,75.76130892390489,4.0
Fight Night Round 3,1.666666666666667,70.0,5.0
GT Advance Championship Racing,1.666666666666667,60.856447705757,3.0
Way of the Samurai 2,1.333333333333333,70.19545115652986,6.0
FIFA Street 3,1.333333333333333,74.681844716871,3.0
Custom Robo,2.333333333333333,,5.0
BattleTanx,1.333333333333333,75.0,3.0
Battlestations: Pacific,1.333333333333333,82.69070974811561,5.0
Pitfall 3D: Beyond the Jungle,1.333333333333333,75.0,3.0
Disgaea 2: Cursed Memories,1.333333333333333,42.5,5.0
Cabela's Dangerous Hunts 2011,1.333333333333333,65.0,5.0
Deca Sports Freedom,9.0,79.22449886785625,4.0
Phineas and Ferb: Across the 2nd Dimension,1.666666666666667,69.0,4.0
Call of Duty 2: Big Red One,1.333333333333333,76.77628972175955,5.0
Elebits,2.0,64.0954290052506,3.0
"Warhammer 40,000: Squad Command",1.333333333333333,,5.0
Disgaea: Hour of Darkness,3.0,70.0,5.0
SSX Blur,1.666666666666667,,3.0
DiRT 4,1.333333333333333,43.0,5.0
Spongebob Squarepants: Creature From the Krusty Krab,7.333333333333332,75.8096791905578,3.0
My Baby First Steps,4.333333333333334,45.0,3.0
MLB 08: The Show,3.666666666666667,70.1891436580454,3.0
The Black Eyed Peas Experience,1.333333333333333,62.0,5.0
Picross Touch,1.333333333333333,70.88262520572854,3.0
Power Rangers Ninja Storm,1.333333333333333,77.06909168148665,3.0
Despicable Me: The Game,4.0,70.0,3.0
MySims SkyHeroes,1.333333333333333,70.0,4.0
Eternal Sonata,7.0,77.2447049798182,5.0
EA Playground,2.333333333333333,83.66666666666666,3.0
Folklore,1.666666666666667,73.77278484424927,5.0
Dragon Ball Z: Extreme Butoden,6.0,64.5,5.0
Samurai Warriors 2 Xtreme Legends,3.333333333333333,,5.0
Sniper Elite III,1.666666666666667,72.83044296574005,6.0
Teen Titans,1.666666666666667,79.39596395043671,4.0
Dead Rising 2: Off the Record,4.0,74.836519996332,6.0
Etrian Odyssey III: The Drowned City,4.333333333333334,72.5330407198732,4.0
LEGO The Lord of the Rings,2.0,86.2,4.0
NBA Live 06,24.0,,3.0
Batman: Arkham Origins,24.33333333333333,,5.0
Discovery Kids: Puppy Playtime,6.666666666666668,84.37898092671709,3.0
Dr. Mario & Puzzle League,1.333333333333333,,3.0
Bleach: Shattered Blade,2.0,87.0,5.0
Major League Baseball 2K6,1.666666666666667,72.58286964367709,3.0
Pinball Hall of Fame: The Gottlieb Collection,3.666666666666667,70.16666666666666,3.0
Dead Space 2,1.0,88.49531158704123,6.0
Def Jam Rapstar,3.666666666666667,66.46664934748654,5.0
Overlord II,1.333333333333333,64.9353528061656,5.0
NBA 2K10,1.333333333333333,76.70934506802705,3.0
Tatsunoko VS. Capcom: Ultimate All Stars,7.333333333333332,,5.0
Teenage Mutant Ninja Turtles 2: Battle Nexus,1.333333333333333,,5.0
Nicktoons: Movin',7.0,64.18558493108304,3.0
SWAT: Global Strike Team,1.666666666666667,69.98223412539559,6.0
Championship Bass,2.666666666666667,75.08881946462729,3.0
Resident Evil: Revelations 2,2.666666666666667,72.14028908404305,6.0
Test Drive Unlimited,1.333333333333333,69.89661471529904,4.0
Madden NFL 13,2.0,50.0,3.0
NCAA Basketball 10,3.0,65.75,3.0
Dead or Alive 5,11.0,65.0,6.0
