name,popularity,total_rating,esrb
Deus Ex: Mankind Divided,24.33333333333333,79.6174010127845,6.0
Cool Boarders 2001,7.333333333333332,,3.0
Classic NES Series: Castlevania,1.333333333333333,75.8125,
Dragon Ball Z: Battle of Z,3.333333333333333,58.3333333333333,5.0
Scooby-Doo! First Frights,1.333333333333333,75.76130892390489,4.0
Fight Night Round 3,1.666666666666667,70.0,5.0
GT Advance Championship Racing,1.666666666666667,60.856447705757,3.0
Way of the Samurai 2,1.333333333333333,70.19545115652986,6.0
FIFA Street 3,1.333333333333333,74.681844716871,3.0
Custom Robo,2.333333333333333,,5.0
BattleTanx,1.333333333333333,75.0,3.0
Hatsune Miku: Project DIVA Extend,1.333333333333333,,
Battlestations: Pacific,1.333333333333333,82.69070974811561,5.0
Pitfall 3D: Beyond the Jungle,1.333333333333333,75.0,3.0
Disgaea 2: Cursed Memories,1.333333333333333,42.5,5.0
Cabela's Dangerous Hunts 2011,1.333333333333333,65.0,5.0
Deca Sports Freedom,9.0,79.22449886785625,4.0
Clock Tower 3,1.333333333333333,68.16666666666666,
Battle Dodge Ball,9.333333333333334,59.3333333333333,
Goosebumps: HorrorLand,1.333333333333333,89.910912002199,
Phineas and Ferb: Across the 2nd Dimension,1.666666666666667,69.0,4.0
Call of Duty 2: Big Red One,1.333333333333333,76.77628972175955,5.0
Elebits,2.0,64.0954290052506,3.0
"Warhammer 40,000: Squad Command",1.333333333333333,,5.0
F1 2013,1.333333333333333,83.0,
Disgaea: Hour of Darkness,3.0,70.0,5.0
NeoGeo Battle Coliseum,1.333333333333333,70.0,
SSX Blur,1.666666666666667,,3.0
DiRT 4,1.333333333333333,43.0,5.0
Vin Diesel Wheelman,1.333333333333333,75.0,
Spongebob Squarepants: Creature From the Krusty Krab,7.333333333333332,75.8096791905578,3.0
My Baby First Steps,4.333333333333334,45.0,3.0
MLB 08: The Show,3.666666666666667,70.1891436580454,3.0
The Black Eyed Peas Experience,1.333333333333333,62.0,5.0
Parodius,6.0,60.0,
Spy Kids 3-D: Game Over,1.666666666666667,69.98223412539559,
Sakura Taisen 3: Pari wa Moete iru ka?,10.33333333333333,50.0,
Picross Touch,1.333333333333333,70.88262520572854,3.0
NCAA Gamebreaker 2001,1.333333333333333,85.0,
Power Rangers Ninja Storm,1.333333333333333,77.06909168148665,3.0
Angry Birds Star Wars,1.333333333333333,86.99458383238995,
Naruto: Gekitō Ninja Taisen! 4,11.33333333333333,73.77278484424927,
Kidou Senshi Gundam F91: Formula Senki 0122,2.0,,
Despicable Me: The Game,4.0,70.0,3.0
Golden Axe: Beast Rider,1.333333333333333,59.3333333333333,
MySims SkyHeroes,1.333333333333333,70.0,4.0
MVP Baseball 2005,1.333333333333333,70.0,
Koueki Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kanken Training 2,10.33333333333333,88.7332149819124,
"Carnival Games: Monkey See, Monkey Do",2.666666666666667,78.25,
Eternal Sonata,7.0,77.2447049798182,5.0
Game of Life,3.333333333333333,80.65637176641259,
EA Playground,2.333333333333333,83.66666666666666,3.0
NBA Live 96,1.333333333333333,57.37887868540879,
Clash of the Titans,3.666666666666667,,
Folklore,1.666666666666667,73.77278484424927,5.0
Dragon Ball Z: Extreme Butoden,6.0,64.5,5.0
Samurai Warriors 2 Xtreme Legends,3.333333333333333,,5.0
Sniper Elite III,1.666666666666667,72.83044296574005,6.0
Teen Titans,1.666666666666667,79.39596395043671,4.0
Dead Rising 2: Off the Record,4.0,74.836519996332,6.0
Frogger II: ThreeeDeep!,2.333333333333333,78.5,
