name,esrb,popularity,hypes,total_rating
Wii Sports,"{'synopsis': '', 'rating': 3}",3.0,NaN,75.99885991000349
Super Mario Bros.,"{'synopsis': '', 'rating': 3}",13.0,NaN,84.8355249320341
Mario Kart Wii,"{'synopsis': '', 'rating': 3}",6.333333333333333,NaN,75.6581415674599
Wii Sports Resort,"{'synopsis': '', 'rating': 3}",1.666666666666667,NaN,84.64624643517566
Pokémon Project Studio Red/Blue Version,NaN,1.0,NaN,88.1532608844398
Tetris,NaN,1.333333333333333,NaN,64.15844282191965
New Super Mario Bros.,{'rating': 3},1.0,NaN,81.54166496947289
Wii Play,"{'synopsis': '', 'rating': 3}",2.0,NaN,69.06435404594019
New Super Mario Bros. Wii,"{'synopsis': 'This is a side-scrolling platformer in which players control the characters Mario, Luigi, and Toad as they run and jump through colorful environments with the goal of saving a princess. Players use an assortment of moves and power-ups—jumps, spin attacks, fireballs, turtle shell throws—to defeat the ""goombas,"" ""koopas,"" and other tiny creatures inhabiting ""Mushroom Kingdom."" Some enemies crumble into pieces when jumped on, get momentarily stunned, or make ""pop-like"" sounds before getting knocked off screen.', 'rating': 3}",1.333333333333333,NaN,73.8217266044991
Duck Hunt,{'rating': 3},5.666666666666667,NaN,85.8374539175056
Nintendogs,"{'synopsis': '', 'rating': 3}",4.333333333333334,NaN,85.8677388305405
Mario Kart DS,"{'synopsis': '', 'rating': 3}",1.333333333333333,NaN,66.7064095685941
Pokémon Silver,{'rating': 3},1.333333333333333,NaN,77.33333333333334
Wii Fit,"{'synopsis': '', 'rating': 3}",56.33333333333334,NaN,94.1006406072521
Wii Fit Plus,"{'synopsis': 'This is a fitness game in which players can track their weight, monitor their balance, and perform exercises through a variety of mini-games. Mini-games include jumping rope, skateboarding, boxing against a robotic punching bag, and competing in a snowball fight. During the snowball fight, players use a crosshair target to hit opponents, causing them to fall to the ground and disappear.', 'rating': 3}",27.66666666666667,NaN,91.9415335589686
Top Trumps Adventures!,NaN,18.0,NaN,96.21259114987764
Grand Theft Auto V,"{'synopsis': ""In this open-world action game, players assume the role of three criminals whose storylines intersect within the fictional city of Los Santos. Players can switch between each character to follow his storyline, completing missions which often include criminal activities (e.g., stealing cars, executing heists, assassinating targets). Players use pistols, machine guns, sniper rifles, and explosives to kill various enemies (e.g., rival gang members); players also have the ability to shoot non-adversary civilians, though this may negatively affect players' progress as a penalty system triggers a broad police search. Blood-splatter effects occur frequently, and the game contains rare depictions of dismemberment.  In one sequence, players are directed to use various instruments and means (e.g., pipe wrench, tooth removal, electrocution) to extract information from a character; the sequence is intense and prolonged, and it involves some player interaction (i.e., responding to on-screen prompts). The game includes depictions of sexual material/activity: implied fellatio and masturbation; various sex acts that the player's character procures from a prostitute—while no nudity is depicted in these sequences, various sexual moaning sounds can be heard. Nudity is present, however, primarily in two settings: a topless lap dance in a strip club and a location that includes male cult members with exposed genitalia in a non-sexual context. Within the game, TV programs and radio ads contain instances of mature humor: myriad sex jokes; depictions of raw sewage and feces on a worker's body; a brief instance of necrophilia (no nudity is depicted). Some sequences within the larger game allow players to use narcotics (e.g., smoking from a bong, lighting a marijuana joint); cocaine use is also depicted. Players' character can, at various times, consume alcohol and drive while under the influence. The words “f**k,”“c*nt,” and “n**ger” can be heard in the dialogue."", 'rating': 6}",1.666666666666667,NaN,65.11689542559145
Grand Theft Auto: San Andreas,"{'synopsis': '', 'rating': 6}",4.666666666666666,NaN,75.20895488118481
Super Mario World,"{'synopsis': 'No Descriptors', 'rating': 3}",21.66666666666667,NaN,90.3362945726034
Brain Age: Train Your Brain in Minutes a Day!,"{'synopsis': '', 'rating': 3}",56.33333333333334,NaN,94.1006406072521
Pearl6,NaN,14.66666666666667,NaN,91.32849036162592
Super Mario Land,{'rating': 3},1.333333333333333,NaN,76.79475226766945
Super Mario Bros. 3,"{'synopsis': '', 'rating': 3}",2.666666666666667,NaN,82.0
Grand Theft Auto V,"{'synopsis': ""In this open-world action game, players assume the role of three criminals whose storylines intersect within the fictional city of Los Santos. Players can switch between each character to follow his storyline, completing missions which often include criminal activities (e.g., stealing cars, executing heists, assassinating targets). Players use pistols, machine guns, sniper rifles, and explosives to kill various enemies (e.g., rival gang members); players also have the ability to shoot non-adversary civilians, though this may negatively affect players' progress as a penalty system triggers a broad police search. Blood-splatter effects occur frequently, and the game contains rare depictions of dismemberment.  In one sequence, players are directed to use various instruments and means (e.g., pipe wrench, tooth removal, electrocution) to extract information from a character; the sequence is intense and prolonged, and it involves some player interaction (i.e., responding to on-screen prompts). The game includes depictions of sexual material/activity: implied fellatio and masturbation; various sex acts that the player's character procures from a prostitute—while no nudity is depicted in these sequences, various sexual moaning sounds can be heard. Nudity is present, however, primarily in two settings: a topless lap dance in a strip club and a location that includes male cult members with exposed genitalia in a non-sexual context. Within the game, TV programs and radio ads contain instances of mature humor: myriad sex jokes; depictions of raw sewage and feces on a worker's body; a brief instance of necrophilia (no nudity is depicted). Some sequences within the larger game allow players to use narcotics (e.g., smoking from a bong, lighting a marijuana joint); cocaine use is also depicted. Players' character can, at various times, consume alcohol and drive while under the influence. The words “f**k,”“c*nt,” and “n**ger” can be heard in the dialogue."", 'rating': 6}",4.0,NaN,91.87070498898844
Grand Theft Auto: Vice City,"{'synopsis': '', 'rating': 6}",11.33333333333333,NaN,79.9189357471151
Pokémon Pinball: Ruby & Sapphire,{'rating': 3},1.333333333333333,NaN,85.1109099946228
Pokémon White,NaN,14.0,NaN,80.5455207146473
Brain Age 2: More Training in Minutes a Day!,"{'synopsis': '', 'rating': 3}",5.0,NaN,87.1006638986003
Gran Turismo 3: A-Spec,{'rating': 3},40.33333333333334,NaN,71.318534347575
Call of Duty: Modern Warfare 3,"{'synopsis': 'This is a first-person shooter in which players assume the role of military operatives tasked with thwarting the plans of a terrorist leader. Players complete mission objectives and engage in battles that take place in modern-day locations across the globe (e.g., United States, Great Britain, Germany). Players use pistols, rifles, machine guns, and explosives to injure/kill enemies; the frenetic conflicts are highlighted by realistic gunfire, screams of pain, and large splashes of blood from injured characters. Blood-splatter effects appear often in the surrounding environment, in addition to dead bodies lying in pools of blood. Some sequences depict more intense acts of violence, such as a defenseless prisoner getting lit on fire; a man losing his arm from a sniper shot (with blood spurting from the wound); and a family dying (off-screen) in an explosion. In some instances, scattered packages of drugs appear in the environment (e.g., packets of narcotics that explode in white puffs when shot); in multiplayer mode, players can also unlock an emblem that resembles a cannabis leaf. The words “f**k,” “sh*t,” and “a*shole” can be heard in the dialogue.', 'rating': 6}",15.66666666666667,NaN,75.57029715885889
duplicate Pokémon Yellow: Special Pikachu Edition,"{'synopsis': '', 'rating': 3}",15.66666666666667,NaN,75.57029715885889
Call of Duty: Black Ops,"{'synopsis': 'This is a first-person shooter in which players control a U.S. soldier who works for the C.I.A. and participates in both well-known and secret events during the Cold War (e.g., skirmishes, stealth espionage, assassinations, and interrogations involving torture). Players use a wide variety of weapons such as pistols, rifles, machine guns, and explosives to injure/kill enemies. Combat can generate pools of blood and dismembered limbs. Players can use enemy bodies as human shields and execute them at close range. In one sequence, broken glass is placed into the mouth of a man while he is repeatedly punched, causing blood to spill from his mouth. Language such as ""f**k,""""b*tch,"" and ""sh*t"" can be heard in the dialogue.', 'rating': 6}",16.66666666666666,NaN,87.03250699316024
Pokémon Y,"{'synopsis': 'This is a role-playing adventure game in which players pit their collection of small creatures (Pokémon) against others to become Pokémon League Champion. As players interact with characters in a fantasy setting, they can engage in turn-based battles: selecting attack moves (e.g., Scratch, Earthquake, Electrode) from a series of menus. These brief encounters are accompanied by smacking/zapping sounds, blinking/light burst effects, and the depletion of health meters. One Pokémon is depicted with mucous dripping from its nose; (e.g., “It sniffs the snot back...""); a text description for a ""Gastro Acid"" move reads ""The user hurls up its stomach acids on the target.""', 'rating': 3}",11.33333333333333,NaN,79.9189357471151
Call of Duty: Black Ops III,"{'synopsis': 'This is a first-person shooter in which players assume the role of a futuristic military unit attempting to thwart the plans of a cartel. Players use machine guns, pistols, shotguns, grenade launchers, and various “cybercore” abilities (e.g., drone control, confusion for human enemies) to kill robots and soldiers amid futuristic urban environments. Action is frenetic, with frequent gunfire, explosions, cries of pain, and blood-splatter effects. Some attacks allow players to blow up enemies or blow off their arms or legs. A handful of cutscenes depict figures being beaten, tortured, or stabbed; some stabbings are depicted fairly close up. During the course of the game, players can select emblems from a menu screen for character/team customization; a few emblems are suggestive of marijuana. The words “f**k” and “sh*t” appear in the dialogue. ', 'rating': 6}",10.33333333333333,NaN,90.6700373186464
