name,esrb,popularity,hypes,total_rating
Fight Night 2004,{'rating': 5},1.333333333333333,NaN,84.5
Tourist Trophy: The Real Riding Simulator,NaN,17.66666666666667,NaN,88.29764291382915
Mass Effect,"{'synopsis': '', 'rating': 6}",2.0,NaN,90.0
.Hack//Mutation,NaN,1.333333333333333,NaN,50.0
Country Dance,NaN,2.333333333333333,NaN,81.86737499487211
Turok,{'rating': 6},1.333333333333333,NaN,75.0
Midway Arcade Treasures 2,{'rating': 6},8.333333333333332,NaN,74.89481240433665
100 Classic Books,NaN,3.0,NaN,68.28778580780575
Unreal Tournament III,{'rating': 6},3.333333333333333,NaN,81.36931827077065
Final Fantasy Crystal Chronicles: Ring of Fates,{'rating': 4},1.333333333333333,NaN,40.0
Return to Castle Wolfenstein: Tides of War,NaN,2.666666666666667,NaN,NaN
Need for Speed Rivals,"{'synopsis': ""This is an arcade-style racing game in which players can select sports cars to race through realistic county highways. Players can proceed through the game as a street racer or a police cruiser; the storyline follows the rivalry between the two groups. As racers, players must flee from the police and can deliberately crash into police cruisers or other racers. In addition to crashing into racers, police cruisers can use various tools/weapons to thwart racers' progress: spike strips, electric/electromagnetic mines or shockwave devices, and a “shock ram” that hits cars with a burst of compressed air. Collisions are often accompanied by slow-motion effects and crashing sounds."", 'rating': 4}",3.333333333333333,NaN,NaN
Lollipop Chainsaw,"{'synopsis': ""This is an action game in which players assume the role of Juliet Starling, a zombie-hunting cheerleader who must prevent the apocalypse. Players use a chainsaw, explosive rounds, and special attacks (e.g., performing cheerleading routines; mowing down enemies with a crop harvester) to kill zombies in melee-style combat. Some attacks (e.g., Sparkle Hunting Bonuses) require dispatching multiple zombies at once, and are highlighted by slow-motion effects and close-up camera angles. Cutscenes also depict over-the-top acts of violence: a zombie boss shooting himself in the head; characters getting sliced in half by chainsaws; Juliet punting a decapitated head in slow motion. Exaggerated blood splashes, dismemberment, and decapitation occur frequently. During the course of the game, players can dress Juliet in revealing outfits (e.g., Sexy Rider Suit, Sexy Seashell Bikini) that expose large amounts of cleavage and/or buttocks. Numerous jokes in the dialogue and on-screen text also reference sexual material (e.g., “Officer Stephanie sometimes used her nightstick to pleasure herself to yearbook photos,”“[She] had 'backdoor' sex with over three hundred sailors back in the day,”“Is it normal to have an erection as you die?”). A variety of sequences allude to drug use (e.g., “Old McDonald's been smoking too much weed,” and “[Influences:] Rick James, eight-foot piles of cocaine. . .”). The words “f**k,”“sh*t,” and “c*cksucker” can be heard in dialogue."", 'rating': 6}",26.66666666666667,NaN,60.6526706877254
The Darkness,{'rating': 6},2.666666666666667,NaN,75.76130892390489
Street Sk8er,{'rating': 3},5.333333333333333,NaN,80.25944973014785
Club Penguin: Elite Penguin Force: Herbert's Revenge,{'rating': 3},116.3333333333333,NaN,NaN
Contra: Legacy of War,{'rating': 5},1.333333333333333,NaN,81.9771156286264
Blazing Angels: Squadrons of WWII,"{'synopsis': '', 'rating': 5}",1.333333333333333,NaN,59.59582814992955
Fight Night Round 3,{'rating': 5},3.666666666666667,NaN,93.94262611068592
Wolfenstein: The New Order,"{'synopsis': ""This is a first-person shooter in which players assume the role of a US Army Ranger as he battles Nazi forces between 1946 and 1960. Players use pistols, machine guns, sniper rifles, fantasy weapons, and explosives to kill enemy soldiers and robotic characters. Players can also sneak up on enemies, stab them repeatedly, or slash their throats with a knife. Some weapons allow players to blow up enemies, resulting in chunks of flesh/blood strewn around game environments; large robots/mech suits sometimes crush enemies' heads or bodies. A handful of sequences depict bodies incinerated/mutilated by torture devices. During the course of the game, characters sometimes engage in sexual activity (e.g., a man thrusting against a woman on a table; a woman gyrating on top of a man in bed—camera angles largely obscure the sex act and no nudity is depicted.). The game includes a sequence in which two characters ingest a hallucinogenic drug from a liquid dropper; the screen becomes blurry and distorted. The words “f**k” and “sh*t” appear in the dialogue."", 'rating': 6}",8.333333333333332,NaN,90.0
The Biggest Loser Challenge,NaN,17.66666666666667,NaN,66.94110431351405
Koueki Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kanken Training 2,NaN,2.666666666666667,NaN,77.77390707545355
Spice World,{'rating': 3},1.666666666666667,NaN,NaN
Star Wars: Republic Commando,{'rating': 5},1.333333333333333,NaN,NaN
Armored Core 3,NaN,2.0,NaN,81.04183711853716
Need for Speed: Undercover,"{'synopsis': 'Need For Speed(TM) Undercover is an action racing game in which players assume the role of an undercover cop who infiltrates street racing gangs. Most missions require players to use their driving skills to avoid obstacles and complete timed objectives, while other missions involve bumping and crashing other cars for points. Video clips feature actors pointing handguns, shooting them off-screen, and referencing murder. Actresses are often dressed in revealing outfits (e.g., low-cut blouses and cleavage), while camera angles often pan up and down their legs. Some song lyrics within the game contain mild language (e.g., ""hell"" and ""b*tch"").', 'rating': 5}",1.666666666666667,NaN,89.33025182743384
Taiko no Tatsujin Wii,NaN,1.333333333333333,NaN,NaN
