name,esrb,popularity,hypes,total_rating
Deus Ex: Mankind Divided,{'rating': 6},24.33333333333333,NaN,79.6174010127845
Cool Boarders 2001,{'rating': 3},7.333333333333333,NaN,NaN
Classic NES Series: Castlevania,NaN,1.333333333333333,NaN,75.8125
Dragon Ball Z: Battle of Z,"{'synopsis': ""his is a fighting game in which players control characters from the Dragon Ball Z universe in 'beat-'em-up'-style combat as well as one-on-one battles. Players punch, kick, and use special attacks (e.g., fireballs, beams/orbs of energy) to drain their opponents' life meters. Battles are highlighted by impact sounds, explosions, and frequent yells/cries of pain. During the course of the game, a handful of characters make suggestive comments (e.g., “It was a late night. I was with Master Roshi watching some sexy aerobic…” “Bring a nice figured gal to me!” and “Yes…I see it! It's Bulma's panty!”). Players can acquire a variety of items over the course of the game, including a pair of girl's underwear and a pink coil on a stick (text reads “Mr. Poo”)."", 'rating': 5}",3.333333333333333,NaN,58.3333333333333
Scooby-Doo! First Frights,"{'synopsis': '', 'rating': 4}",1.333333333333333,NaN,75.76130892390489
Fight Night Round 3,{'rating': 5},1.666666666666667,NaN,70.0
GT Advance Championship Racing,{'rating': 3},1.666666666666667,NaN,60.856447705757
Way of the Samurai 2,{'rating': 6},1.333333333333333,NaN,70.19545115652986
FIFA Street 3,{'rating': 3},1.333333333333333,NaN,74.681844716871
Custom Robo,"{'synopsis': '', 'rating': 5}",2.333333333333333,NaN,NaN
BattleTanx,{'rating': 3},1.333333333333333,NaN,75.0
Hatsune Miku: Project DIVA Extend,NaN,1.333333333333333,NaN,NaN
Battlestations: Pacific,"{'synopsis': 'This is combat simulation game set in the Pacific Theatre of World War II. Players can assume the role of either Japanese or American fighter pilots as well as command naval fleets with a real-time strategy-style control system. Missions can range from protecting a fleet of bombers with your fighter squadron to destroying a fleet of enemy ships. Players use machine guns, dive bombing, and torpedo attacks from planes and artillery fire. Provocative images of pin up models in lingerie and bikinis can be used to adorn the nose of bombers and other planes. Expletives such as ""hell"" and ""Godammit"" can be heard in the radio chatter during missions.', 'rating': 5}",1.333333333333333,NaN,82.69070974811561
Pitfall 3D: Beyond the Jungle,{'rating': 3},1.333333333333333,NaN,75.0
Disgaea 2: Cursed Memories,{'rating': 5},1.333333333333333,NaN,42.5
Cabela's Dangerous Hunts 2011,{'rating': 5},1.333333333333333,NaN,65.0
Deca Sports Freedom,"{'synopsis': '', 'rating': 4}",9.0,NaN,79.22449886785625
Clock Tower 3,NaN,1.333333333333333,NaN,68.16666666666666
Battle Dodge Ball,NaN,9.333333333333334,NaN,59.3333333333333
Goosebumps: HorrorLand,NaN,1.333333333333333,NaN,89.910912002199
Phineas and Ferb: Across the 2nd Dimension,{'rating': 4},1.666666666666667,NaN,69.0
Call of Duty 2: Big Red One,{'rating': 5},1.333333333333333,NaN,76.77628972175955
Elebits,"{'synopsis': '', 'rating': 3}",2.0,NaN,64.0954290052506
"Warhammer 40,000: Squad Command",{'rating': 5},1.333333333333333,NaN,NaN
F1 2013,NaN,1.333333333333333,NaN,83.0
Disgaea: Hour of Darkness,{'rating': 5},3.0,NaN,70.0
NeoGeo Battle Coliseum,NaN,1.333333333333333,NaN,70.0
SSX Blur,{'rating': 3},1.666666666666667,NaN,NaN
DiRT 4,"{'synopsis': ""This is a racing simulation game in which players select and drive cars through a variety of tracks and events. Players compete against other drivers using rally cars, buggies, and “crosskarts” in contests of speed. Accompanying song lyrics contain the word “a*s” and references to drugs (e.g., “I'll get stoned, trip it out”; “Woke up stoned in the backseat...”; “You don't get me high anymore/Used to take one/Now it takes four”)."", 'rating': 5}",1.333333333333333,NaN,43.0
Vin Diesel Wheelman,NaN,1.333333333333333,NaN,75.0
Spongebob Squarepants: Creature From the Krusty Krab,"{'synopsis': '', 'rating': 3}",7.333333333333333,NaN,75.8096791905578
My Baby First Steps,{'rating': 3},4.333333333333334,NaN,45.0
MLB 08: The Show,{'rating': 3},3.666666666666667,NaN,70.1891436580454
The Black Eyed Peas Experience,"{'synopsis': '', 'rating': 5}",1.333333333333333,NaN,62.0
Parodius,NaN,6.0,NaN,60.0
Spy Kids 3-D: Game Over,NaN,1.666666666666667,NaN,69.98223412539559
Sakura Taisen 3: Pari wa Moete iru ka?,NaN,10.33333333333333,NaN,50.0
Picross Touch,{'rating': 3},1.333333333333333,NaN,70.88262520572854
NCAA Gamebreaker 2001,NaN,1.333333333333333,NaN,85.0
Power Rangers Ninja Storm,"{'synopsis': '', 'rating': 3}",1.333333333333333,NaN,77.06909168148665
Angry Birds Star Wars,NaN,1.333333333333333,NaN,86.99458383238995
Naruto: Gekitō Ninja Taisen! 4,NaN,11.33333333333333,NaN,73.77278484424926
Kidou Senshi Gundam F91: Formula Senki 0122,NaN,2.0,NaN,NaN
Despicable Me: The Game,{'rating': 3},4.0,NaN,70.0
Golden Axe: Beast Rider,NaN,1.333333333333333,NaN,59.3333333333333
MySims SkyHeroes,{'rating': 4},1.333333333333333,NaN,70.0
MVP Baseball 2005,NaN,1.333333333333333,NaN,70.0
Koueki Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kanken Training 2,NaN,10.33333333333333,NaN,88.7332149819124
"Carnival Games: Monkey See, Monkey Do",NaN,2.666666666666667,NaN,78.25
Eternal Sonata,{'rating': 5},7.0,NaN,77.24470497981821
Game of Life,NaN,3.333333333333333,NaN,80.6563717664126
EA Playground,{'rating': 3},2.333333333333333,NaN,83.66666666666666
NBA Live 96,NaN,1.333333333333333,NaN,57.3788786854088
Clash of the Titans,NaN,3.666666666666667,NaN,NaN
Folklore,{'rating': 5},1.666666666666667,NaN,73.77278484424926
Dragon Ball Z: Extreme Butoden,{'rating': 5},6.0,NaN,64.5
Samurai Warriors 2 Xtreme Legends,{'rating': 5},3.333333333333333,NaN,NaN
Sniper Elite III,"{'synopsis': ""This is a third-person shooter in which players assume the role of a US Army sniper during World War II. From first- and third-person perspectives, players use machine guns, scoped rifles, trip mines, and grenades to kill enemy soldiers and complete mission objectives. Players employ stealth tactics to dispatch enemies from various ranges (e.g., crouching behind rubble to take a shot; sneaking up and stabbing enemies). Firefights are highlighted by screams of pain, realistic gunfire, explosions, and large splashes of blood. Performing accurate shots sometimes triggers a “kill cam,” which follows the bullet in slow motion to its intended target. These sequences depict X-ray views of enemies' bones, ligaments, and organs shattering or bursting apart. The word “sh*t” can be heard in the dialogue."", 'rating': 6}",1.666666666666667,NaN,72.83044296574005
Teen Titans,{'rating': 4},1.666666666666667,NaN,79.39596395043671
Dead Rising 2: Off the Record,{'rating': 6},4.0,NaN,74.836519996332
Frogger II: ThreeeDeep!,NaN,2.333333333333333,NaN,78.5
Etrian Odyssey III: The Drowned City,"{'synopsis': 'This is a role-playing game in which players assume the role of explorers in search of a sunken city. Players explore labyrinthine dungeons, acquire resources from it, and engage in turn-based battles against creatures along the way. Players can select actions (e.g., ""attack,"" ""defend,"" and ""skill"") from a menu system during combat; various light effects and numeric values indicate damage inflicted on creatures and players. Some female characters wear revealing outfits that expose some cleavage. During the course of the game, players may purchase wine and ale, which is used to acquire information from a character. The words ""b*tch,"" ""a*s,"" and ""bastard"" appear in the dialogue.', 'rating': 4}",4.333333333333334,NaN,72.53304071987321
