name,esrb,popularity,hypes,total_rating
Smashing Drive,{'rating': 5},1.333333333333333,NaN,35.0
Age of Mythology: The Titans,NaN,1.333333333333333,NaN,42.5
Fighting Vipers 2,NaN,1.0,NaN,65.0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,{'rating': 5},1.333333333333333,NaN,NaN
Sudoku Ball: Detective,{'rating': 4},1.333333333333333,NaN,35.0
12-sai. Koi suru Diary,NaN,3.0,NaN,67.4621212121212
Castlevania: Lords of Shadow - Reverie,NaN,1.333333333333333,NaN,83.7348925454097
Napoleon Dynamite: The Game,"{'synopsis': '', 'rating': 4}",2.333333333333333,NaN,49.0
Beat Down: Fists of Vengeance,{'rating': 6},1.333333333333333,NaN,NaN
Enchanted Arms,{'rating': 5},2.666666666666667,NaN,77.73211584445491
Monster Force,NaN,2.333333333333333,NaN,63.75
World of Goo,"{'synopsis': ""World of Goo is point-and-click puzzle game in which players guide goo-like creatures toward level goals. Players can create support structures and bridges from the goo creatures to help navigate hazards. Some levels require setting the creatures on fire, escaping from a churning ('regurgitating') stomach, and using creature pieces to float away."", 'rating': 3}",7.333333333333333,NaN,NaN
Chotto Sunao ni Donburi Kanjou,NaN,1.0,NaN,73.496893349589
Clock Zero: Shuuen no Ichibyou,NaN,3.333333333333333,NaN,83.47129891445411
San Goku Shi,NaN,1.333333333333333,NaN,74.60344823044261
Trick x Logic Season 2,NaN,2.0,NaN,NaN
Challenge Me: Brain Puzzles,{'rating': 3},1.0,NaN,80.0
Hakuoki Zuisouroku,NaN,1.333333333333333,NaN,NaN
World in Conflict,NaN,6.333333333333333,NaN,NaN
World Championship Pool 2004,{'rating': 3},1.333333333333333,NaN,67.24132675568205
J-League Pro Soccer Club o Tsukurou! 5,NaN,1.666666666666667,NaN,NaN
S.T.A.L.K.E.R.: Clear Sky,{'rating': 6},1.666666666666667,NaN,76.97082870697486
Jikkyou Powerful Major League 2009,NaN,1.333333333333333,NaN,NaN
SD Gundam Force: Showdown!,NaN,5.333333333333333,NaN,NaN
Ray Gigant,"{'synopsis': '-', 'rating': 5}",1.333333333333333,NaN,60.0
Mahou Sensei Negima!? Neo-Pactio Fight!!,NaN,1.333333333333333,NaN,48.3333333333333
Flow: Urban Dance Uprising,NaN,4.333333333333334,NaN,59.9246575342466
Ailu de Puzzle!,NaN,1.333333333333333,NaN,80.99351880328611
World in Conflict: Complete Edition,NaN,12.0,NaN,49.0
True Pinball,NaN,1.333333333333333,NaN,55.0
Jane's Hotel,NaN,1.333333333333333,NaN,NaN
Stadium Games,NaN,1.333333333333333,NaN,NaN
Run Like Hell!,{'rating': 6},3.0,NaN,78.75
Power Play Pool,NaN,2.0,NaN,75.6666666666667
Pro Striker 2,NaN,1.333333333333333,NaN,83.07680567644775
ObsCure,{'rating': 6},3.666666666666667,NaN,66.83333333333334
Caesar III,"{'synopsis': 'EVERYONE', 'rating': 3}",1.333333333333333,NaN,52.5
Super Robot Wars Scramble Commander the 2nd,NaN,1.333333333333333,NaN,77.51537673680251
Mahjong Taikai,NaN,3.333333333333333,NaN,72.5
Tomb Raider: Anniversary,{'rating': 5},24.33333333333333,NaN,74.58059060588815
Espgaluda II Black Label,NaN,1.333333333333333,NaN,NaN
The Croods: Prehistoric Party!,NaN,1.333333333333333,NaN,70.6666666666667
Bratz Kidz,{'rating': 3},1.333333333333333,NaN,35.0
Hot Potato!,{'rating': 3},1.666666666666667,NaN,61.5
Barbie and Her Sisters: Puppy Rescue,{'rating': 3},2.333333333333333,NaN,61.14285714285715
Kiniro no Corda 2,NaN,1.333333333333333,NaN,NaN
Swords,NaN,1.0,NaN,NaN
Winter Sports 3: The Great Tournament,NaN,1.333333333333333,NaN,NaN
Deception III: Dark Delusion,"{'synopsis': '-', 'rating': 6}",1.333333333333333,NaN,66.25
Gothic Universe Edition,NaN,4.666666666666666,NaN,NaN
Game Room,NaN,1.333333333333333,NaN,77.5
