name,popularity,total_rating,esrb
Smashing Drive,1.333333333333333,35.0,5.0
Age of Mythology: The Titans,1.333333333333333,42.5,
Fighting Vipers 2,1.0,65.0,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1.333333333333333,NaN,5.0
Sudoku Ball: Detective,1.333333333333333,35.0,4.0
12-sai. Koi suru Diary,3.0,67.4621212121212,
Castlevania: Lords of Shadow - Reverie,1.333333333333333,83.7348925454097,
Napoleon Dynamite: The Game,2.333333333333333,49.0,4.0
Beat Down: Fists of Vengeance,1.333333333333333,NaN,6.0
Enchanted Arms,2.666666666666667,77.73211584445491,5.0
Monster Force,2.333333333333333,63.75,
World of Goo,7.333333333333333,NaN,3.0
Chotto Sunao ni Donburi Kanjou,1.0,73.496893349589,
Clock Zero: Shuuen no Ichibyou,3.333333333333333,83.47129891445411,
San Goku Shi,1.333333333333333,74.60344823044261,
Trick x Logic Season 2,2.0,NaN,
Challenge Me: Brain Puzzles,1.0,80.0,3.0
Hakuoki Zuisouroku,1.333333333333333,NaN,
World in Conflict,6.333333333333333,NaN,
World Championship Pool 2004,1.333333333333333,67.24132675568205,3.0
J-League Pro Soccer Club o Tsukurou! 5,1.666666666666667,NaN,
S.T.A.L.K.E.R.: Clear Sky,1.666666666666667,76.97082870697486,6.0
Jikkyou Powerful Major League 2009,1.333333333333333,NaN,
SD Gundam Force: Showdown!,5.333333333333333,NaN,
Ray Gigant,1.333333333333333,60.0,5.0
Mahou Sensei Negima!? Neo-Pactio Fight!!,1.333333333333333,48.3333333333333,
Flow: Urban Dance Uprising,4.333333333333334,59.9246575342466,
Ailu de Puzzle!,1.333333333333333,80.99351880328611,
World in Conflict: Complete Edition,12.0,49.0,
True Pinball,1.333333333333333,55.0,
Jane's Hotel,1.333333333333333,NaN,
Stadium Games,1.333333333333333,NaN,
Run Like Hell!,3.0,78.75,6.0
Power Play Pool,2.0,75.6666666666667,
Pro Striker 2,1.333333333333333,83.07680567644775,
ObsCure,3.666666666666667,66.83333333333334,6.0
Caesar III,1.333333333333333,52.5,3.0
Super Robot Wars Scramble Commander the 2nd,1.333333333333333,77.51537673680251,
Mahjong Taikai,3.333333333333333,72.5,
Tomb Raider: Anniversary,24.33333333333333,74.58059060588815,5.0
Espgaluda II Black Label,1.333333333333333,NaN,
The Croods: Prehistoric Party!,1.333333333333333,70.6666666666667,
Bratz Kidz,1.333333333333333,35.0,3.0
Hot Potato!,1.666666666666667,61.5,3.0
Barbie and Her Sisters: Puppy Rescue,2.333333333333333,61.14285714285715,3.0
Kiniro no Corda 2,1.333333333333333,NaN,
Swords,1.0,NaN,
Winter Sports 3: The Great Tournament,1.333333333333333,NaN,
Deception III: Dark Delusion,1.333333333333333,66.25,6.0
Gothic Universe Edition,4.666666666666666,NaN,
Game Room,1.333333333333333,77.5,
Alpha Protocol,1.333333333333333,NaN,6.0
Penguins of Madagascar,1.666666666666667,NaN,3.0
Nobunaga's Ambition II,4.666666666666666,NaN,
